Source: Keine befreiende Novelle für Tymoshenko durch das Parlament|Result: no <unk> amendment to the european parliament 's legislative proposals <eos>|Target: Parliament Does Not Support Amendment Freeing Tymoshenko
Source: Das ukrainische Parlament verweigerte heute den Antrag, im Rahmen einer Novelle des Strafgesetzbuches denjenigen Paragrafen abzuschaffen, auf dessen Grundlage die Oppositionsführerin Yulia Timoshenko verurteilt worden war.|Result: today , the ukrainian parliament refused to abolish , in the context of a revision of the criminal code , the <unk> <unk> , on the basis of which the <unk> <unk> <unk> was sentenced . <eos>|Target: Today, the Ukraine parliament dismissed, within the Code of Criminal Procedure amendment, the motion to revoke an article based on which the opposition leader, Yulia Tymoshenko, was sentenced.
Source: Die Neuregelung, die den Weg zur Befreiung der inhaftierten Expremierministerin hätte ebnen können, lehnten die Abgeordneten bei der zweiten Lesung des Antrags auf Milderung der Strafen für wirtschaftliche Delikte ab.|Result: the new regulation that could have paved the way for the liberation of prisoners of conscience rejected members at second reading of the request for a reduction in penalties for economic offences . <eos>|Target: The amendment that would lead to freeing the imprisoned former Prime Minister was revoked during second reading of the proposal for mitigation of sentences for economic offences.
Source: Timoshenko war im Oktober wegen des Abschlusses eines angeblich nachteiligen Vertrags mit Russland über den Einkauf von Erdgas zu sieben Jahren Haft verurteilt worden.|Result: <unk> was sentenced to seven years ' imprisonment in october because of the conclusion of a supposedly adverse treaty with russia on the purchase of natural gas . <eos>|Target: In October, Tymoshenko was sentenced to seven years in prison for entering into what was reported to be a disadvantageous gas deal with Russia.
Source: Das Urteil ist noch nicht rechtskräftig, im Dezember soll die Berufung der Verurteilten vor Gericht verhandelt werden.|Result: the judgment is not yet legally binding , and in december the appeal of the convicted court is to be negotiated . <eos>|Target: The verdict is not yet final; the court will hear Tymoshenko's appeal in December.
Source: Timoshenko selbst bezeichnet das Urteil als politische Rache des Regimes und auch im Westen ließ der Prozess den Verdacht der Voreingenommenheit des Gerichts aufkommen.|Result: <unk> himself described the judgment as political revenge of the regime , and also in the west , the trial caused the suspicion of the court ’s bias . <eos>|Target: Tymoshenko claims the verdict is a political revenge of the regime; in the West, the trial has also evoked suspicion of being biased.
Source: Der Antrag, Paragraf 365, auf dessen Grundlage die Expremierministerin verurteilt wurde, aus dem Strafgesetzbuch zu entfernen, wurde von 147 Abgeordneten unterstützt.|Result: the application to remove <unk> 365 , on the basis of which the <unk> was sentenced , was supported by 147 members . <eos>|Target: The proposal to remove Article 365 from the Code of Criminal Procedure, upon which the former Prime Minister was sentenced, was supported by 147 members of parliament.
Source: 226 Stimmen wären zu seiner Annahme erforderlich gewesen.|Result: 226 votes would have been necessary to adopt them . <eos>|Target: Its ratification would require 226 votes.
Source: Libyscher Sieg|Result: <unk> victory <eos>|Target: Libya's Victory
Source: Die Geschichte des libyschen Befreiungskampfes oder libyschen Rebellion kennt schon ihre Verlierer.|Result: the history of libya ’s <unk> or libyan rebellion already knows its losers . <eos>|Target: The story of Libya's liberation, or rebellion, already has its defeated.
Source: Muammar al-Gaddafi liegt an einem unbekannten Ort in der Wüste begraben und ohne ihn ist der Krieg vorbei.|Result: muammar el - qaddafi is buried on an unknown spot in the desert and without him the war is over . <eos>|Target: Muammar Kaddafi is buried at an unknown place in the desert. Without him, the war is over.
Source: Nun sind nur noch die Sieger zu definieren.|Result: now only the winners are to be defined . <eos>|Target: It is time to define the winners.
Source: Wie ihn dieser Region üblich, siegen in den Wahlen Islamisten, die Frage ist nur, welche - die gemäßigten oder die radikalen.|Result: as it is customary in this region , islamists win in the elections , the question is only what - the moderates or the radicals . <eos>|Target: As a rule, Islamists win in the country; the question is whether they are the moderate or the radical ones.
Source: Der Nationale Übergangsrat bekannte sich zum Gewohnheitsrecht der Scharīʿa, von dem man ja nun bei Gott eine gewisse Vorstellung hat.|Result: the national <unk> known as the common law of the <unk> , of which one now has a certain idea with god . <eos>|Target: The transitional cabinet declared itself a follower of the customary Sharia law, of which we have already heard.
Source: Libyen würde zum Land ohne Kriminalität, denn für Diebstahl hackt man kurzum die Hand ab.|Result: libya would become a country without crime , because it would in short become a source of theft . <eos>|Target: Libya will become a crime free country, as the punishment for stealing is having one's hand amputated.
